HOLDING_ID	INDEX_NAME	INDEX_IDENTIFIER	NARRATIVE_DESC
156387226	S and P 500 INDX	783786106	
161041757	FTSE 100 Index Futures	Z Z5 Index	
161042963	UKDA index - FTSE 100 Dividend Index Futures	UKDZ7 Index	
161041742	Montreal Exchange S&P/TSX 60 Index Futures	PTZ5 Index	
159137241	Russell 1000 Value E-Mini Index	RLV Index	
156354482	MARKIT CMBX.NA.BBB- S18	CZ030008	
156351547	CMBX BBB- CDSI S16 PRC CORP	CY873248	
159171028	Markit CMBX North American BBB- 9	137BERAI8	
158243465	Secured Overnight Financing Rate	SOFRATE	
159428634	NZ$ Bank Bill 3M FRA	N/A	N/A
159431413	CMBX.NA.AAA.10	N/A	N/A
159441533	CMBX.NA.AAA.6	N/A	N/A
159441438	AUD-BBR-BBSW-Bloomberg 6M	N/A	N/A
159794986	CDX NA IG 45 V1 1% 12/20/2030	N/A	
158882578	ICE U.S. mini MSCI EAFE Index Futures	MFSZ5 Index	
159181955	Niftym Index	NIFTYM Index	
159178104	S&P 500 E-Mini Index	US78378X1072	
159188877	iTraxx Europe Crossover44-V1	2I667KMH8	
158243245	US CPI Urban Consumers NAS	CPURNSA	
159447732	ABX.HE.AAA.06-2	N/A	N/A
159425125	ABX.HE.AAA.06-2	N/A	N/A
159271048	SONIA O/N Deposit Rates Swap	N/A	N/A
159270766	AUD-BBR-BBSW-Bloomberg 6M	N/A	N/A
160440406	FTSE 100 INDEX	UKX	
159793729	U.S. Secured Overnight Financing Rate	N/A	
156368708	CMBX AAA CDSI S17 PRC CORP	CY885799	
156387031	S and P 500 INDX	783786106	
156388991	S and P 500 INDX	783786106	
156391273	S and P 500 INDX	783786106	
156449539	CMBX AAA CDSI S17 PRC CORP	CY885799	
161041745	TSE TOPIX Futures	TPZ5 Index	
161042955	UKDA index - FTSE 100 Dividend Index Futures	UKDZ6 Index	
160398951	ICE: (CDX.NA.IG.45.V1)	2I65BYEI2	
160384459	United States SOFR Secured Ove	SOFRRATE	
158308141	S&P 500 Index	SPX	
158357304	CMBX AAA CDSI S13 PRC INDX	CY451600	
158181551	RUSSELL 2000 INDEX	RTY	
159296471	SONIA O/N Deposit Rates Swap	N/A	N/A
156394913	S and P 500 INDX	783786106	
161043130	Eurex Dow Jones EURO STOXX 50 Dividend Futures	DEDZ6 Index	
161042867	SGX Nikkei Dividend Index Futures	MNDH5 Index	
159086266	US ULTRA BOND	WNZ5	
158361105	MARKIT CMBX.NA.BBB- S18	CZ030008	
159039770	CME E-mini S&P MidCap 400 Index Futures	FAZ5 Index	
159994077	CME E-mini S&P 500 Index Futures	ESZ5 Index	
159436418	ABX.HE.AA.07-2	N/A	N/A
159275379	CHINA FIXING REPO RATES 7 DAY	N/A	N/A
159794928	U.S. Secured Overnight Financing Rate	SOFR	
159387993	AUD-BBR-BBSW-Bloomberg 6M	N/A	N/A
159386733	UK RPI All Items NSA	N/A	N/A
156441092	CMBX AAA CDSI S17 PRC CORP	CY885799	
156454305	CMBX AAA CDSI S17 PRC CORP	CY885799	
159342883	CMBX.NA.AAA.10	N/A	N/A
159132022	Markit iBoxx USD Liquid Leveraged Loans Total Return Index	IBXXLLTR Index	
156372955	CMBX AAA CDSI S17 PRC CORP	CY885799	
156387799	S and P 500 INDX	783786106	
158362835	CMBX AAA CDSI S17 PRC CORP	CY885799	
159185790	Nikkei 225 Index	JP9010C00002	
158185785	S&P 400 Index	MID	
159269671	SONIO (03/18/26) LCH	N/A	N/A
156386208	MSCI EMERGING MARKETS INDEX	GB00BP5FTD07	
159795736	U.S. Secured Overnight Financing Rate	SOFR	
157914613	CDX.NA.HY.45	2I65BRAD5	
158373038	S&P 500 Index	SPX	
159441262	ABX.HE.AAA.07-1	N/A	N/A
159795023	CDX HY44 V1 5% 06/20/2030	N/A	
158234117	RUSSELL 2000 INDEX	RTY	
160443364	S&P 500 Index	SPX	
156353360	RUSSELL 2000 INDEX (RTY)	US7827001089	
156368187	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156387316	S and P 500 INDX	783786106	
159286902	SONIA O/N Deposit Rates Swap	N/A	N/A
158276333	S&P 400 Index	MID	
156398284	S and P 500 INDX	783786106	
156457249	CMBX BB CDSI S18 PRC INDX	CZ030007	
156494252	CMBX.NA.AA.7	137BEPAG6	
156447435	CMBX AAA CDSI S15 PRC INDX	CY562346	
159128720	iBoxx USD Liquid High Yield Total Return Index	IBOXHY Index	
161020670	TSE TOPIX Futures	TPZ5 Index	
158242423	S&P 500 Index	SPX	
160323598	CME E-mini S&P 500 Index Futures	ESZ5 Index	
156419637	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156402561	MARKIT CMBX.NA.BBB 15	CY562349	
159434576	CMBX.NA.AAA.10	N/A	N/A
159385211	AUD-BBR-BBSW-Bloomberg 6M	N/A	N/A
156419053	CMBX BBB- CDSI S16 PRC CORP	CY873248	
159166937	iTraxx Europe Crossover42-V2	2I667KKW7	
158243285	US CPI Urban Consumers NAS	CPURNSA	
159425322	CMBX.NA.AAA.6	N/A	N/A
160456857	S&P/TSX 60 INDEX	SPTSX60	
157911035	CDX.NA.HY.43	2I65BRAD3	
156371498	MARKIT CMBX.NA.BBB- S18	CZ030008	
156374441	CMBX AAA CDSI S17 PRC CORP	CY885799	
156372423	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156388880	S and P 500 INDX	783786106	
156389505	S and P 500 INDX	783786106	
160394140	S&P 500 Index	SPX	
159795197	U.S. Secured Overnight Financing Rate	SOFR	
159794859	U.S. Secured Overnight Financing Rate	SOFR	
159794937	U.S. Secured Overnight Financing Rate	SOFR	
161043123	UKDA index - FTSE 100 Dividend Index Futures	UKDZ6 Index	
156492488	CMBX.NA.AA.6	137BEPAF8	
156454914	MARKIT CMBX.NA.BBB- S18	CZ030008	
156458958	MARKIT CMBX.NA.BBB- S18	CZ030008	
159127245	Markit iBoxx USD Liquid Leveraged Loans Total Return Index	IBXXLLTR Index	
155862349	CME E-mini S&P 500 Index Futures	ESU5 Index	
156377320	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156379435	CMBX AAA CDSI S15 PRC INDX	CY562346	
156387778	S and P 500 INDX	783786106	
161041748	SFE S&P ASX Share Price Index 200 Futures	XPZ5 Index	
156354636	CMBX AAA CDSI S17 PRC CORP	CY885799	
156347432	CMBX AAA CDSI S17 PRC CORP	CY885799	
156363422	RUSSELL 2000 INDEX (RTY)	US7827001089	
160596169	S and P 400 MIDCAP INDEX (MID)	EI09MID	
159444267	AUD-BBR-BBSW-Bloomberg 6M	N/A	N/A
161041736	Eurex EURO STOXX 50 Futures	VGZ5 Index	
158355301	CMBX AAA CDSI S15 PRC INDX	CY562346	
159299224	NZ$ Bank Bill 3M FRA	N/A	N/A
158286485	E-mini Russell 1000 Growth Composite Index Future Dec 2025	RGGZ25	
156390194	S and P 500 INDX	783786106	
156391161	S and P 500 INDX	783786106	
156387512	S and P 500 INDX	783786106	
156388114	S and P 500 INDX	783786106	
161043005	UKDA index - FTSE 100 Dividend Index Futures	UKDZ6 Index	
160405264	United States SOFR Secured Ove	SOFRRATE	
158353945	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156353950	CMBX AAA CDSI S17 PRC CORP	CY885799	
160635200	S and P TSX 60 INDEX	EI09SPTSX60	
156493371	CMBX.NA.AA.6	137BEPAF8	
156412443	MARKIT CMBX.NA.BBB 15	CY562349	
156418109	MARKIT CMBX.NA.BBB- S18	CZ030008	
158249211	S&P 400 Index	MID	
158358736	MARKIT CMBX.NA.BBB 15	CY562349	
158243232	US CPI Urban Consumers NAS	CPURNSA	
158243398	United States SOFR Secured Ove	SOFRRATE	
159428605	SONIA O/N Deposit Rates Swap	N/A	N/A
159269401	CHINA FIXING REPO RATES 7 DAY	N/A	N/A
159274814	AUD-BBR-BBSW-Bloomberg 6M	N/A	N/A
159386558	NZ$ Bank Bill 3M FRA	N/A	N/A
156494173	CDX.NA.IG.S41	2I65BYED3	
156380444	CMBX AAA CDSI S16 PRC INDX	CY873245	
156401381	CMBX AAA CDSI S17 PRC CORP	CY885799	
161043145	Eurex Swiss Market New Index Futures	SMZ5 Index	
161041727	S&P 500 Annual Dividend Index Futures	ASDZ26 Index	
160397607	United States SOFR Secured Ove	SOFRRATE	
156355348	CMBX AAA CDSI S17 PRC CORP	CY885799	
159439212	SONIA O/N Deposit Rates Swap	N/A	N/A
159437606	MEXICO INTERBANK TIIE 28 DAY	N/A	N/A
160458372	FTSE 100 INDEX	UKX	
156443850	CMBX BBB- CDSI S17 PRC INDX	CY885802	
158259440	S&P 500 Index	SPX	
156389120	S and P 500 INDX	783786106	
156392859	ITRAXX XOVER S42 V3 12/20/29	ITXEX542	
156459144	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156454615	CMBX AAA CDSI S13 PRC INDX	CY451600	
159130260	iBoxx USD Liquid High Yield Total Return Index	IBOXHY Index	
156369295	CMBX BBB- CDSI S16 PRC CORP	CY873248	
161041769	TSE Japanese 10 Year Bond Futures	JBZ5 Comdty	
160385289	United States SOFR Secured Ove	SOFRRATE	
158234537	S&P 500 Index	SPX	
158356019	CMBX AAA CDSI S13 PRC INDX	CY451600	
156363328	CMBX AAA CDSI S17 PRC CORP	CY885799	
156413211	CDX NA IG SERIES 43 5YR	CDXIG543	
159426095	SONIA O/N Deposit Rates Swap	N/A	N/A
161041754	CME E-mini NASDAQ 100 Index Futures	NQZ5 Index	
161020679	FTSE 100 Index Futures	Z Z5 Index	
160947158	TSE TOPIX Futures	TPZ5 Index	
156355385	CMBX AAA CDSI S17 PRC CORP	CY885799	
156360475	MARKIT CMBX.NA.BBB- S18	CZ030008	
159179524	Markit CDX North American Investment Grade Index Series 45-V1	2I65BYEI2	
159188491	S&P 500 Index	US78378X1072	
159446220	CMBX.NA.AAA.6	N/A	N/A
158361782	CMBX AAA CDSI S13 PRC INDX	CY451600	
156347345	CMBX BBB- CDSI S17 PRC INDX	CY885802	
156357067	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156451358	CMBX BB CDSI S18 PRC INDX	CZ030007	
156396008	S and P 500 INDX	783786106	
158711486	S&P500 EMINI FUT  Dec25	SPX	
156393807	CMBX AAA CDSI S17 PRC CORP	CY885799	
159188067	Markit CDX North American Investment Grade Index Series 45-V1	2I65BYEI2	
159170342	Markit CMBX North American BBB- 9	137BERAI8	
159180593	S&P 500 Index	US78378X1072	
159436682	CMBX.NA.AAA.11	N/A	N/A
159441995	CMBX.NA.AAA.6	N/A	N/A
156379958	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156402627	CDX NA IG SERIES 44 5YR	CDXIG544	
156395692	CMBX AAA CDSI S17 PRC CORP	CY885799	
156403480	CMBX BBB- CDSI S16 PRC CORP	CY873248	
159185172	S&P 500 Index	US78378X1072	
159182304	Markit CDX North American High Yield Index Series 43-V1	2I65BRAD3	
159186034	EURO STOXX Bank Index	EU0009658426	
156180218	MSCI EAFE	MXEA	
157909332	CDX.EM.34	2I65BZDZ2	
158499456	Custom Equity Basket	252050_INDEX_MA	Custom Equity Basket
156458510	CMBX AAA CDSI S18 PRC INDX	CZ030005	
156446383	CMBX AAA CDSI S18 PRC INDX	CZ030005	
156455148	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156378664	MARKIT CMBX.NA.BBB- S18	CZ030008	
156370041	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156390880	S and P 500 INDX	783786106	
156392329	S and P 500 INDX	783786106	
156389468	S and P 500 INDX	783786106	
161043051	Eurex Dow Jones EURO STOXX 50 Dividend Futures	DEDZ7 Index	
161041724	S&P 500 Annual Dividend Index Futures	ASDZ27 Index	
161042920	UKDA index - FTSE 100 Dividend Index Futures	UKDZ6 Index	
161043044	SGX Nikkei Dividend Index Futures	MNDZ5 Index	
156408856	CMBX BBB- CDSI S16 PRC CORP	CY873248	
159424676	ABX.HE.AAA.07-2	N/A	N/A
159434041	ABX.HE.AAA.06-2	N/A	N/A
159437144	CMBX.NA.AAA.6	N/A	N/A
158217906	FTSE 100 INDEX	UKX	
158304656	S&P 500 Future (e-Mini) Dec 2025	ESZ25	
158499573	Custom Equity Basket	252050_INDEX_JA	Custom Equity Basket
159736596	Ultra 10 Year U.S. Treasury Notes Futures	UXYZ5 Comdty	
156387643	S and P 500 INDX	783786106	
156389403	S and P 500 INDX	783786106	
156387793	S and P 500 INDX	783786106	
156415208	CMBX AAA CDSI S13 PRC INDX	CY451600	
156397489	CMBX AAA CDSI S17 PRC CORP	CY885799	
161043074	UKDA index - FTSE 100 Dividend Index Futures	UKDZ6 Index	
161041772	CBOT 5 Year U.S. Treasury Notes	FVZ5 Comdty	
160402099	Secured Overnight Financing Rate	SOFRATE	
159180648	Markit CDX North American Investment Grade Index Series 45-V1	2I65BYEI2	
158243446	Secured Overnight Financing Rate	SOFRATE	
159276933	SOUTH KOREAN WON 3 MONTH	N/A	N/A
158234996	RUSSELL 2000 INDEX	RTY	
156409760	CMBX AAA CDSI S17 PRC CORP	CY885799	
156410001	CMBX BBB- CDSI S16 PRC CORP	CY873248	
159163094	iTraxx Europe Crossover42-V2	2I667KKW7	
158243272	US CPI Urban Consumers NAS	CPURNSA	
157288347	SFE 10 Year Australian Bond Futures	XMZ5 Comdty	
159795450	U.S. Secured Overnight Financing Rate	N/A	
159795271	U.S. Secured Overnight Financing Rate	SOFR	
156222947	NASDAQ 100 STOCK INDX	NDX	
156375283	CDX EMIG CDSI S43 5Y	CXPEI543	
156382864	CMBX BBB- CDSI S17 PRC INDX	CY885802	
161043138	UKDA index - FTSE 100 Dividend Index Futures	UKDZ7 Index	
161042988	SGX Nikkei Dividend Index Futures	MNDZ6 Index	
161041775	Euronext CAC 40 Index Futures	CFX5 Index	
156456225	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156450884	CMBX AAA CDSI S15 PRC INDX	CY562346	
156444374	CMBX BB CDSI S18 PRC INDX	CZ030007	
156455390	CMBX AAA CDSI S13 PRC INDX	CY451600	
158265951	E-mini Russell 1000 Value Composite Index Future Dec 2025	RVSZ25	
157288561	Eurex 10 Year Euro BUND Futures	RXZ5 Comdty	
159794542	U.S. Secured Overnight Financing Rate	SOFR	
158276481	RUSSELL 2000 INDEX	RTY	
156455397	CMBX AAA CDSI S17 PRC CORP	CY885799	
161043036	SGX Nikkei Dividend Index Futures	MNDZ6 Index	
161042906	SGX Nikkei Dividend Index Futures	MNDZ6 Index	
161042900	SGX Nikkei Dividend Index Futures	MNDZ5 Index	
161043224	Goldman Sachs Most Shorted Rolling Index	GSCBMSAL Index	
160383403	ICE: (ITRAXX.EUR.44.V1)	Z978T5JQ0	
159186992	Markit CMBX North American AAA 9	137BENAI7	
159165757	Markit CDX North American Investment Grade Index Series 43-V1	2I65BYEG6	
156444518	CMBX AAA CDSI S18 PRC INDX	CZ030005	
161043153	Euronext Amsterdam Index Futures	EOX5 Index	
161043193	Eurex Swiss Market New Index Futures	SMZ5 Index	
160404116	ICE: (CDX.NA.IG.44.V1)	2I65BYEH4	
156347136	CMBX AAA CDSI S17 PRC CORP	CY885799	
156401903	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156410215	MARKIT CMBX.NA.BBB- S18	CZ030008	
156411850	CDX NA HY SERIES 43 5YR	CXPHY543	
158981836	S&P MID 400 EMINI Dec25	IX68885984-0	
159793899	U.S. Secured Overnight Financing Rate	N/A	
156194646	NASDAQ 100 STOCK INDX	NDX	
159187388	CBOE Volatility Index	US12497K1007	
159173518	EURO STOXX Bank Index	EU0009658426	
158243298	US CPI Urban Consumers NAS	CPURNSA	
159424497	UK RPI All Items NSA	N/A	N/A
159751499	OSE Nikkei 225 Index Future	NKY	
161187372	S&P 500 EQUAL WEIGHTED INDEX SPW	SPW	N/A
156442484	CMBX AAA CDSI S17 PRC CORP	CY885799	
156452941	CMBX BBB- CDSI S16 PRC CORP	CY873248	
160447262	MSCI EM	MXEF	
156354077	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156362139	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156354579	CMBX BBB- CDSI S17 PRC INDX	CY885802	
156358875	CMBX AAA CDSI S13 PRC INDX	CY451600	
159794611	U.S. Secured Overnight Financing Rate	SOFR	
159389023	SONIA O/N Deposit Rates Swap	N/A	N/A
156396016	CDX NA HY SERIES 43 5YR	CXPHY543	
156391566	S and P 400 MIDCAP INDEX (MID)	EI09MID	
159132829	Markit CDX North American High Yield Index Series 45-V1	2I65BRAD5	
156382511	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156366737	CMBX AAA CDSI S17 PRC CORP	CY885799	
156390448	S and P 500 INDX	783786106	
156392193	S and P 500 INDX	783786106	
158354264	CMBX AAA CDSI S17 PRC CORP	CY885799	
158357531	CMBX AAA CDSI S17 PRC CORP	CY885799	
156345582	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156346665	CMBX BBB- CDSI S17 PRC INDX	CY885802	
156404550	CMBX AAA CDSI S13 PRC INDX	CY451600	
159166755	Markit CDX North American High Yield Index Series 45-V1	2I65BRAD5	
159170427	Markit CDX North American Emerging Markets Index Series 44-V1	2I65BZFI8	
159166897	Markit CDX North American High Yield Index Series 44-V1	2I65BRAD4	
158244857	RUSSELL 2000 INDEX	RTY	
158243354	United States SOFR Secured Ove	SOFRRATE	
158243258	US CPI Urban Consumers NAS	CPURNSA	
158243475	Secured Overnight Financing Rate	SOFRATE	
159369712	ABX.HE.AAA.06-2	N/A	N/A
158361572	CMBX AAA CDSI S17 PRC CORP	CY885799	
156414835	CMBX AAA CDSI S17 PRC CORP	CY885799	
159165357	Markit CMBX North American BBB- 9	137BERAI8	
159177617	Markit CDX North American High Yield Index Series 39-V4	2I65BRAB7	
159428912	ABX.HE.AA.06-1	N/A	N/A
159794829	U.S. Secured Overnight Financing Rate	SOFR	
159342494	AUD-BBR-BBSW-Bloomberg 6M	N/A	N/A
156378008	CMBX BBB- CDSI S17 PRC INDX	CY885802	
159436766	CMBX.NA.AAA.10	N/A	N/A
156180193	MSCI EM	MXEF	
159747751	Hang Seng	HSI	
159747228	FTSE 100 Index Future	UKX	
159795549	U.S. Secured Overnight Financing Rate	SOFR	
157909663	CDX.EM.36	2I65BZEB4	
156399647	S and P 500 INDX	783786106	
156459951	CMBX AAA CDSI S17 PRC CORP	CY885799	
156442866	CMBX BBB- CDSI S17 PRC INDX	CY885802	
159736878	CBOT 5 Year U.S. Treasury Notes	FVZ5 Comdty	
156387325	S and P 500 INDX	783786106	
156389512	S and P 500 INDX	783786106	
156358489	CMBX AAA CDSI S15 PRC INDX	CY562346	
156309372	RUSSELL 2000 INDEX (RTY)	US7827001089	
156373479	MARKIT CMBX.NA.BBB- S18	CZ030008	
156371177	CMBX BB CDSI S18 PRC INDX	CZ030007	
156370608	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156391306	S and P 500 INDX	783786106	
160004926	CME E-mini S&P 500 Index Futures	ESZ5 Index	
159388308	AUD-BBR-BBSW-Bloomberg 6M	N/A	N/A
157906881	CDX.EM.38	2I65BZFC1	
156446632	MARKIT CMBX.NA.BBB- S18	CZ030008	
161043059	Eurex Dow Jones EURO STOXX 50 Dividend Futures	DEDZ6 Index	
160396534	ICE: (CDX.NA.HY.45.V1)	Z9796YTF3	
159181046	Niftym Index	NIFTYM Index	
159174902	Markit CMBX North American AAA 9	137BENAI7	
159174780	EURO STOXX 50 Index	EU0009658145	
158243342	United States SOFR Secured Ove	SOFRRATE	
159752581	Eurex EURO STOXX 50 Future	SX5E	
159748876	TEF SET50 Index	SET50	
156412771	CMBX AAA CDSI S17 PRC CORP	CY885799	
158243360	United States SOFR Secured Ove	SOFRRATE	
158243311	US CPI Urban Consumers NAS	CPURNSA	
159446867	CMBX.NA.AAA.8	N/A	N/A
159441053	CMBX.NA.AAA.6	N/A	N/A
159276378	Financial Benchmarks India Overnight Mumbai Interbank Outright Rate	N/A	N/A
159273376	SONIA O/N Deposit Rates Swap	N/A	N/A
159750417	HKG Hang Seng China Enterprise	HSCEI	
156454900	MARKIT CMBX.NA.BBB- S18	CZ030008	
156454996	CMBX BBB- CDSI S17 PRC INDX	CY885802	
159131306	iBoxx USD Liquid High Yield Total Return Index	IBOXHY Index	
159128442	iTraxx Europe Crossover42-V2	2I667KKW7	
156374424	CMBX AAA CDSI S13 PRC INDX	CY451600	
156391297	S and P 500 INDX	783786106	
156387704	S and P 500 INDX	783786106	
156391717	S and P 500 INDX	783786106	
161041784	OML Stockholm OMXS30 Index Futures	QCX5 Index	
